CLASE DE ACCIDENTE;GRAVEDAD;VIAS;CORREGIMIENTO;DIA  SEMANA;FECHA DE OCURRECIA;HORA OCURRENCIA
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;VIERNES;23/07/2021;7:40:00 p. m.
ATROPELLO;HERIDOS;CALI-FLORIDA;CANDELARIA;VIERNES;23/07/2021;2:50:00 p. m.
CHOQUE;DAÑOS;PALMIRA-VILLA RICA;CANDELARIA;DOMINGO;25/07/2021;N/A
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;LUNES;26/07/2021;4:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;26/07/2021;3:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;26/07/2021;5:15:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;28/07/2021;1:55:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;JUEVES;29/07/2021;7:55:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;VIERNES;30/07/2021;7:07:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;SABADO;31/07/2021;9:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;1/08/2021;12:10:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;MIERCOLES;4/08/2021;8:20:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;4/08/2021;11:00:00 a. m.
CHOQUE;DAÑOS;CANDELARIA-FLORIDA;CANDELARIA;VIERNES;6/08/2021;10:00:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL LAURO;VIERNES;6/08/2021;1:40:00 p. m.
VOLCAMIENTO;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;VIERNES;6/08/2021;2:40:00 p. m.
CHOQUE;MUERTOS;VILLARICA-PALMIRA;EL ARENAL;DOMINGO;8/08/2021;12:30:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;DOMINGO;8/08/2021;9:20:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;8/08/2021;5:20:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;9/08/2021;5:50:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;9/08/2021;7:30:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;CANDELARIA;MARTES;10/08/2021;5:50:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;CANDELARIA;MARTES;10/08/2021;4:00:00 p. m.
ATROPELLO;HERIDOS;CANDELARIA;EL CABUYAL;MIERCOLES;11/08/2021;10:40:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;JUEVES;12/08/2021;9:10:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;VIERNES;13/08/2021;6:05:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MARTES;17/08/2021;6:20:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;JUEVES;19/08/2021;5:30:00 p. m.
CHOQUE;HERIDOS;CANDELARIA-CALI;VILLAGORGONA;VIERNES;20/08/2021;N/A
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;SABADO;21/08/2021;3:50:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;22/08/2021;9:10:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;CANDELARIA;LUNES;23/08/2021;8:15:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIÉRCOLES;25/08/2021;N/A
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MIERCOLES;25/08/2021;5:30:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;25/08/2021;6:20:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;JUEVES;26/08/2021;N/A
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;JUEVES;26/08/2021;7:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;JUEVES;26/08/2021;10:45:00 a. m.
CHOQUE;MUERTOS;CALI-CANDELARIA;EL CARMELO;VIERNES;27/08/2021;7:20:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;SABADO;28/08/2021;6:30:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;LUNES;30/08/2021;10:40:00 a. m.
OTRO;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;1/09/2021;4:30:00 p. m.
CHOQUE;HERIDOS;CALI-FLORIDA;CANDELARIA;JUEVES;2/09/2021;9:10:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;POBLADO CAMPESTRE;VIERNES;3/09/2021;10:10:00 p. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;DOMINGO;5/09/2021;5:45:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;6/09/2021;8:45:00 a. m.
VOLCAMIENTO;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;6/09/2021;5:42:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;7/09/2021;10:30:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;LA REGINA;LUNES;6/09/2021;11:30:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL CABUYAL;MARTES;7/09/2021;1:00:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL CABUYAL;MARTES;7/09/2021;N/A
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MIÉRCOLES;8/09/2021;N/A
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;JUEVES;9/09/2021;6:00:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;VIERNES;10/09/2021;5:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;10/09/2021;7:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;SABADO;11/09/2021;11:40:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;12/09/2021;11:37:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;13/09/2021;5:30:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;MARTES;14/09/2021;5:15:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL CABUYAL;MIERCOLES;15/09/2021;9:20:00 a. m.
VOLCAMIENTO;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;15/09/2021;8:52:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;SABADO;18/09/2021;11:30:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;20/09/2021;4:40:00 a. m.
VOLCAMIENTO;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;20/09/2021;5:40:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;LUNES;20/09/2021;3:00:00 p. m.
CHOQUE;HERIDOS;CANDELARIA;CANDELARIA;VIERNES;24/09/2021;10:20:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;LUNES;27/09/2021;2:00:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MARTES;28/09/2021;1:00:00 p. m.
CHOQUE;DAÑOS;Via interna;POBLADO CAMPESTRE;MARTES;28/09/2021;8:10:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;MARTES;28/09/2021;7:24:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;29/09/2021;4:20:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;29/09/2021;10:20:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;29/09/2021;5:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;JUEVES;30/09/2021;5:20:00 p. m.
VOLCAMIENTO;HERIDOS;CALI-CANDELARIA;JUANCHITO;JUEVES;30/09/2021;6:30:00 a. m.
CHOQUE;DAÑOS;Via interna;EL CARMELO;VIERNES;1/10/2021;9:10:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;DOMINGO;3/10/2021;3:13:00 a. m.
VOLCAMIENTO;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;3/10/2021;4:50:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;MARTES;5/10/2021;1:10:00 p. m.
CHOQUE;DAÑOS;CALI-FLORIDA;LA REGINA;MIERCOLES;6/10/2021;6:50:00 p. m.
CHOQUE;DAÑOS;CALI-FLORIDA;LA REGINA;MIERCOLES;6/10/2021;7:30:00 p. m.
CHOQUE;MUERTOS;VILLARICA-PALMIRA;EL CABUYAL;JUEVES;7/10/2021;5:30:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;LA REGINA;VIERNES;8/10/2021;6:30:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;SABADO;9/10/2021;9:40:00 p. m.
CHOQUE;HERIDOS;CANDELARIA-CALI;VILLAGORGONA;DOMINGO;10/10/2021;5:25:00 a. m.
CHOQUE;MUERTOS;CALI-CANDELARIA;EL CARMELO;LUNES;11/10/2021;6:20:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;11/10/2021;3:00:00 p. m.
CHOQUE;DAÑOS;CALI-FLORIDA;LA REGINA;MARTES;12/10/2021;11:50:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;JUEVES;14/10/2021;7:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;DOMINGO;17/10/2021;7:30:00 a. m.
CHOQUE;HERIDOS;CANDELARIA;EL CABUYAL;DOMINGO;17/10/2021;9:30:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;19/10/2021;10:30:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;20/10/2021;6:40:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;JUEVES;21/10/2021;6:30:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;VIERNES;22/10/2021;4:20:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;VIERNES;22/10/2021;5:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;SABADO;23/10/2021;1:25:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;LA REGINA;SABADO;23/10/2021;6:41:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;RIO EL TRIUNFO;DOMINGO;24/10/2021;10:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;24/10/2021;5:40:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;MARTES;26/10/2021;2:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;26/10/2021;7:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;26/10/2021;7:59:00 p. m.
VOLCAMIENTO;HERIDOS;CANDELARIA;EL CARMELO;JUEVES;28/10/2021;9:44:00 a. m.
CHOQUE;HERIDOS;CANDELARIA-CALI;DOMINGO LARGO;JUEVES;28/10/2021;10:15:00 a. m.
CHOQUE;DAÑOS;VILLAGORGONA - PALMIRA;CANDELARIA;JUEVES;28/10/2021;1:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;VIERNES;29/10/2021;2:00:00 p. m.
N/A;DAÑOS;PALMIRA-VILLA RICA;CANDELARIA;SABADO;30/10/2021;2:00:00 p. m.
CHOQUE;HERIDOS;CANDELARIA-CALI;POBLADO CAMPESTRE;SABADO;30/10/2021;10:00:00 a. m.
CHOQUE;MUERTOS;CALI-CANDELARIA;EL CARMELO;LUNES;1/11/2021;11:59:00 a. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;CANDELARIA;MIERCOLES;3/11/2021;5:15:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;MIERCOLES;3/11/2021;6:00:00 p. m.
CHOQUE;HERIDOS;PUERTO TEJADA-PALMIRA;EL ARENAL;VIERNES;5/11/2021;12:15:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;SABADO;6/11/2021;9:40:00 p. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;7/11/2021;3:13:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL LAURO;LUNES;8/11/2021;10:15:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;LUNES;8/11/2021;10:15:00 a. m.
CHOQUE;MUERTOS;CANDELARIA-CALI;CANDELARIA;LUNES;8/11/2021;6:00:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;LUNES;8/11/2021;N/A
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;9/11/2021;6:20:00 p. m.
VOLCAMIENTO;DAÑOS;PUERTO TEJADA - PALMIRA;EL CABUYAL;MARTES;9/11/2021;4:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;10/11/2021;7:20:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;MIERCOLES;10/11/2021;2:20:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL CABUYAL;JUEVES;11/11/2021;9:23:00 a. m.
VOLCAMIENTO;DAÑOS;VILLARICA-PALMIRA;RIO EL TRIUNFO;DOMINGO;14/11/2021;9:30:00 p. m.
CHOQUE;HERIDOS;CANDELARIA-PALMIRA;RIO EL TRIUNFO;DOMINGO;14/11/2021;5:45:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;DOMINGO;14/11/2021;5:40:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;LUNES;15/11/2021;12:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;15/11/2021;3:00:00 p. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;LUNES;15/11/2021;8:00:00 a. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;JUANCHITO;MARTES;16/11/2021;10:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL LAURO;JUEVES;18/11/2021;1:35:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;JUEVES;18/11/2021;1:00:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;JUEVES;18/11/2021;10:15:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;VIERNES;19/11/2021;2:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;DOMINGO LARGO;MARTES;23/11/2021;11:38:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;LUNES;22/11/2021;5:30:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;MIERCOLES;24/11/2021;5:15:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MIÉRCOLES;24/11/2021;N/A
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;26/11/2021;10:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;SABADO;27/11/2021;2:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;28/11/2021;7:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;LUNES;29/11/2021;10:15:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;LUNES;29/11/2021;3:00:00 p. m.
CHOQUE;HERIDOS;CANDELARIA;CANDELARIA;JUEVES;2/12/2021;11:15:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;VIERNES;3/12/2021;9:10:00 a. m.
CHOQUE;HERIDOS;CANDELARIA;LA VICTORIA;VIERNES;3/12/2021;2:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;3/12/2021;9:10:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;LA VICTORIA;SABADO;4/12/2021;12:10:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;DOMINGO LARGO;SABADO;4/12/2021;9:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MARTES;7/12/2021;1:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;MARTES;7/12/2021;2:00:00 p. m.
VOLCAMIENTO;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;8/12/2021;6:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;LA NUBIA;JUEVES;9/12/2021;7:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;10/12/2021;4:20:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;VIERNES;10/12/2021;2:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;12/12/2021;7:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MARTES;14/12/2021;5:15:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;14/12/2021;1:10:00 p. m.
CHOQUE;HERIDOS;PUERTO TEJADA-PALMIRA;CANDELARIA;MARTES;14/12/2021;10:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;15/12/2021;6:20:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;MIERCOLES;15/12/2021;12:30:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;15/12/2021;2:00:00 p. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;EL CARMELO;MIERCOLES;15/12/2021;5:15:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;JUEVES;16/12/2021;1:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;17/12/2021;3:00:00 p. m.
CHOQUE;HERIDOS;PUERTO TEJADA-PALMIRA;CANDELARIA;SABADO;18/12/2021;7:00:00 a. m.
CHOQUE;HERIDOS;PUERTO TEJADA-PALMIRA;EL CABUYAL;DOMINGO;19/12/2021;3:13:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MIERCOLES;22/12/2021;7:30:00 p. m.
CHOQUE;MUERTOS;CALI-FLORIDA;LA REGINA;MIERCOLES;22/12/2021;9:06:00 a. m.
VOLCAMIENTO;DAÑOS;CANDELARIA;EL LAURO;JUEVES;23/12/2021;9:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;CANDELARIA;VIERNES;24/12/2021;9:10:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;VIERNES;24/12/2021;12:11:00 p. m.
ATROPELLO;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;24/12/2021;10:00:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;EL CABUYAL;VIERNES;24/12/2021;4:20:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;CANDELARIA;DOMINGO;26/12/2021;5:40:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;26/12/2021;5:40:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;VIERNES;27/12/2021;8:20:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;LUNES;27/12/2021;N/A
ATROPELLO;MUERTOS;CALI-CANDELARIA;JUANCHITO;MARTES;28/12/2021;2:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;28/12/2021;N/A
CHOQUE;DAÑOS;CANDELARIA;EL CABUYAL;MIERCOLES;29/12/2021;3:30:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;JUEVES;30/12/2021;5:15:00 p. m.
ATROPELLO;MUERTOS;VILLARICA-PALMIRA;EL ARENAL;VIERNES;31/12/2021;9:00:00 p. m.
CHOQUE;DAÑOS;CANDELARIA-CALI;EL CARMELO;DOMINGO;2/01/2022;11:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;LUNES;3/01/2022;8:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MARTES;4/01/2022;11:00:00 a. m.
CHOQUE;HERIDOS;PALMIRA-VILLARICA;EL CABUYAL;DOMINGO;9/01/2022;5:00:00 p. m.
VOLCAMIENTO;DAÑOS;PALMIRA-VILLARICA;EL ARENAL;LUNES;10/01/2022;10:00:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;CANDELARIA;DOMINGO;16/01/2022;11:00:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MARTES;18/01/2022;1:00:00 p. m.
CHOQUE;HERIDOS;CANDELARIA;CANDELARIA;MARTES;18/01/2022;7:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;MIERCOLES;19/01/2022;7:00:00 a. m.
CHOQUE;DAÑOS;CANDELARIA-PALMIRA;CANDELARIA;MIERCOLES;19/01/2022;3:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;LA REGINA;MIERCOLES;19/01/2022;7:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;POBLADO CAMPESTRE;MIERCOLES;19/01/2022;6:00:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;LUNES;24/01/2022;3:00:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;LUNES;24/01/2022;8:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;MARTES;25/01/2022;2:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;SABADO;29/01/2022;5:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;POBLADO CAMPESTRE;SABADO;29/01/2022;2:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;DOMINGO;30/01/2022;11:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;LA NUBIA;DOMINGO;30/01/2022;1:00:00 a. m.
